Trường: Đại Học Quy Nhơn - 2023,,,,,
✯ Điểm chuẩn xét điểm thi THPT - Xem ngay,,,,,
✯ Điểm chuẩn xét Học bạ - Xem ngay,,,,,
✯ Điểm chuẩn xét điểm ĐGNL HCM - Xem ngay,,,,,
Điểm chuẩn xét điểm thi THPT 2023,,,,,
STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,7140114,Quản lý Giáo dục,A00; A01; C00; D01,15,
2,7140201,Giáo dục mầm non,M00,20.25,
3,7140202,Giáo dục Tiểu học,A00; C00; D01,24.45,
4,7140205,Giáo dục chính trị,C00; C19; D01,24.5,
5,7140206,Giáo dục thể chất,T00; T02; T03; T05,22.25,
6,7140209,Sư phạm Toán học,A00; A01,25.25,
7,7140210,Sư phạm Tin học,A00; A01; D07,19,
8,7140211,Sư phạm Vật lý,A00; A01; A02,23.5,
9,7140213,Sư phạm Sinh học,B00; B08; A02,20,
10,7140217,Sư phạm Ngữ văn,C00; D14; D15,25.25,
11,7140218,Sư phạm Lịch sử,C00; C19; D14,25.75,
12,7140219,Sư phạm Địa lý,A00; C00; D15,23.5,
13,7140231,Sư phạm Tiếng Anh,D01,24.75,
14,7140247,Sư phạm Khoa học tự nhiên,A00; A01; A02; B00,19,
15,7140249,Sư phạm Lịch sử Địa lý,C00; C19; C20,24.25,
16,7220201,Ngôn ngữ Anh,A01; D01; D14; D15,19.5,
17,7220204,Ngôn ngữ Trung Quốc,A01; D01; D04; D15,22.25,
18,7229030,Văn học,C00; C19; D14; D15,15,
19,7310101,Kinh tế,A00; A01; D01,18.5,
20,7310205,Quản lý nhà nước,A00; C00; C19; D01,17.5,
21,7310403,Tâm lý học giáo dục,A00; C00; C19; D01,15,
22,7310608,Đông phương học,C00; C19; D14; D15,15,
23,7310630,Việt Nam học,C00; C19; D01; D15,15,
24,7340101,Quản trị kinh doanh,A00; A01; D01,15,
25,7340201,Tài chính - Ngân hàng,A00; A01; D01,15,
26,7340301,Kế toán,A00; A01; D01,15,
27,7340301CLC,Kế toán CLC,A00; A01; D01,15,
28,7340302,Kiểm toán,A00; A01; D01,15,
29,7380101,Luật,A00; C00; C19; D01,17.75,
